Prix de vente,Type de logement,Zonage (Classification),Façade (en pieds),Superficie du lot (pieds²),Type de route,Forme du lot,Topographie du terrain,Services publics disponibles,Configuration du lot,Inclinaison du terrain,Quartier,Proximité (1ère condition),Proximité (2e condition),Type de bâtiment,Style de maison,Qualité globale,État général,Année de construction,Année de rénovation,Style de toit,Matériau du toit,Revêtement extérieur (1),Revêtement extérieur (2),Surface de parement (pieds²),Qualité extérieure,État extérieur,Type de fondation,Qualité du sous-sol,État général du sous-sol,Exposition du sous-sol,Type de finition sous-sol (1),Surface finie sous-sol,Type de finition sous-sol (2),Surface finie sous-sol 2,Surface non finie sous-sol,Total surface sous-sol,Type de chauffage,Qualité du chauffage,Climatisation centrale,Système électrique,Surface du premier étage,Surface du deuxième étage,Surface finie basse qualité (pieds²),Surface habitable totale,Salles de bain complètes sous-sol,Demi-salles de bain sous-sol,Salles de bain complètes,Demi-salles de bain
11.771443882099637,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,70.0,11200.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1965.0,1965.0,Pente,Bardeau composite standard,Panneau dur,Panneau dur,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,906.0,Unf,0.0,134.0,1040.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0
12.694655727828803,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,85.0,11924.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2005.0,2006.0,Pente,Bardeau composite standard,Bardeaux en bois,,286.0,Excellent,Moyen,PConc,Excellent,Moyen,Aucune exposition,Fini - Excellent,998.0,Unf,0.0,177.0,1175.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1182.0,1141.0,0.0,2324.0,1.0,0.0,3.0,0.0
11.87757552297847,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,69.0,12968.0,Pavé,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1962.0,1962.0,Pente,Bardeau composite standard,Panneau dur,Contreplaqué,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,737.0,Unf,0.0,175.0,912.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0
12.540761149388421,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,91.0,10652.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,2006.0,2007.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,306.0,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Non fini,0.0,Unf,0.0,1468.0,1494.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0
11.964007453736912,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,69.0,10920.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,1960.0,1960.0,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,212.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Partiellement fini,733.0,Unf,0.0,520.0,1253.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0
11.790564777297387,1 ÉTAGE ET DEMI - NON AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,51.0,6120.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Brookside,Normale,Normale,Maison individuelle,"Un étage et demi, non aménagé",Bon,Très bon,1929.0,2001.0,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,0.0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,832.0,832.0,Chauffage à gaz,Excellent,Oui,Fusibles anciens,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0
11.91170829631447,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,69.0,11241.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Bon,1970.0,1970.0,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,180.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,578.0,Unf,0.0,426.0,1004.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0
11.407576060361786,DUPLEX - TOUS STYLES ET ÂGES,Résidentiel basse densité,72.0,10791.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Duplex,Un étage,En dessous de la moyenne,Moyenne,1967.0,1967.0,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,0.0,Moyen,Moyen,Slab,Moyen,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,0.0,520.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0
11.976665770490767,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,66.0,13695.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer Ouest,Adjacente à une voie ferrée est-ouest,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,2004.0,2004.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,0.0,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Fini - Excellent,646.0,Unf,0.0,468.0,1114.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0
11.842236406331555,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,70.0,7560.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1958.0,1965.0,Pente,Bardeau composite standard,Brique apparente,Contreplaqué,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Qualité inférieure,504.0,Unf,0.0,525.0,1029.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0
12.692506186542177,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,101.0,14215.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2005.0,2006.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,380.0,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Non fini,0.0,Unf,0.0,1158.0,1158.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1158.0,1141.0,0.0,2376.0,0.0,0.0,3.0,1.0
11.845109950883979,1 ÉTAGE ET DEMI - NON AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,57.0,7449.0,Pavé,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Iowa DOT et chemin de fer,Normale,Normale,Maison individuelle,"Un étage et demi, non aménagé",Bon,Bon,1930.0,1950.0,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,0.0,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,637.0,637.0,Chauffage à gaz,Excellent,Oui,Fusibles,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0
12.345838935721968,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,75.0,9742.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2002.0,2002.0,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,281.0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,1468.0,1753.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0
11.774527900858468,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel densité moyenne,44.0,4224.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Meadow Village,Normale,Normale,Maison de ville (bout),Un étage,Moyenne,Bon,1976.0,1976.0,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,0.0,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,840.0,Unf,0.0,200.0,1040.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0
11.944714374881176,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,69.0,8246.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Très bon,1968.0,2001.0,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,0.0,Moyen,Bon,CBlock,Moyen,Moyen,Exposition moyenne,Fini - Salle de jeux,188.0,ALQ,396.0,204.0,1060.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0
12.454107814022272,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,104.0,14230.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2007.0,2007.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,456.0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,1468.0,1566.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0
11.811554895830454,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,60.0,7200.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Bon,1951.0,2000.0,Pignon,Bardeau composite standard,Revêtement en bois,Revêtement en bois,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition moyenne,Partiellement fini,234.0,Rec,396.0,180.0,900.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,900.0,0.0,0.0,900.0,0.0,1.0,1.0,0.0
12.631343648903034,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,98.0,11478.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2007.0,2008.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,200.0,Bon,Moyen,PConc,Excellent,Moyen,Aucune exposition,Fini - Excellent,1218.0,Unf,0.0,486.0,1704.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0
12.242891437918386,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,47.0,16321.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1957.0,1997.0,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Bonne exposition,Partiellement fini,1274.0,Unf,0.0,207.0,1484.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0
11.385103457032141,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel densité moyenne,60.0,6324.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Brookside,Proche d'une route secondaire,À moins de 200 pieds d'une voie ferrée nord-sud,Maison individuelle,Un étage,En dessous de la moyenne,Au-dessus de la moyenne,1927.0,1950.0,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,0.0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,520.0,520.0,Chauffage à gaz,Médiocre,Non,Disjoncteurs,673.0,0.0,0.0,848.0,0.0,0.0,1.0,0.0
11.385103457032141,2 ÉTAGES 1945 ET PLUS ANCIEN,Commercial,50.0,8500.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Iowa DOT et chemin de fer,Proche d'une route secondaire,Normale,Maison individuelle,Deux étages,En dessous de la moyenne,En dessous de la moyenne,1920.0,1950.0,Gabriel (grange),Bardeau composite standard,Brique apparente,Brique apparente,0.0,Moyen,Médiocre,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,649.0,649.0,Chauffage à gaz,Moyen,Non,Disjoncteurs,673.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0
11.914054519303125,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,69.0,8544.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1966.0,2006.0,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,1228.0,1228.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0
12.100161978566867,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,85.0,11049.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2007.0,2007.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,0.0,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Non fini,0.0,Unf,0.0,1234.0,1234.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0
12.016732516077072,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,70.0,10552.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1959.0,1959.0,Pente,Bardeau composite standard,Brique apparente,Brique apparente,0.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,1018.0,Unf,0.0,380.0,1398.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1700.0,0.0,0.0,1700.0,0.0,1.0,1.0,1.0
12.533579815765737,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel basse densité,60.0,7313.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison de ville (bout),Un étage,Très bon,Moyenne,2005.0,2005.0,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,246.0,Excellent,Moyen,PConc,Excellent,Moyen,Aucune exposition,Fini - Excellent,1153.0,Unf,0.0,408.0,1561.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0
12.6410997921206,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,104.0,13418.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2004.0,2005.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,132.0,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Non fini,0.0,Unf,0.0,1117.0,1117.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1132.0,1141.0,0.0,2452.0,0.0,0.0,3.0,1.0
11.884495917930655,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,104.0,10859.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,College Creek,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1994.0,1995.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,0.0,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,1097.0,1097.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1.0
11.938199736300925,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,74.0,8532.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1954.0,1990.0,Pente,Bardeau composite standard,Revêtement en bois,Revêtement en bois,456.0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,1213.0,Unf,0.0,84.0,1297.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1297.0,0.0,0.0,1297.0,0.0,1.0,1.0,0.0
